SMILES,Affinity,Ionization
CN(C)c1c(ccc2c1ONO2)C(Cl)(Cl)Cl,3.08,4.38
CN(C)c1cc2c(cc1C(Cl)(Cl)Cl)ONO2,3.19,4.17
C/C(=N/c1cc2c(cc1C(Cl)(Cl)Cl)ONO2)/O,3.2,4.33
CN(C)N1Oc2cccc(c2O1)C(Cl)(Cl)Cl,2.69,4.51
C[C]([N]N1Oc2cccc(c2O1)C(Br)(Br)Br)O,3.38,4.57
C/C(=N/c1cccc2c1ON(C(Cl)(Cl)Cl)O2)/O,2.88,4.59
CNc1ccc2c(c1)ON(N(=O)=O)O2,3.39,4.13
CNc1ccc(c2c1ONO2)C(Br)(Br)Br,3.08,4.24
CN[N]OC1=C[C](C=CC1=O)N(=O)=O,2.91,4.21
CN(C)c1cccc2c1ON(N(=O)=O)O2,3.21,4.17
CC(C)(C)c1c2CCCCc2c(c(c1O)O)C(Cl)(Cl)Cl,3.43,4.23
CN(C)c1c2CCCCc2c(c(c1O)O)C(Cl)(Cl)Cl,3.31,4.32
c1cc2c(c(c1C(Cl)(Cl)Cl)C(F)(F)F)ONO2,2.76,4.93
c1cc2c(cc1C(Br)(Br)Br)ONO2,2.86,4.61
c1cc2c(cc1C(Cl)(Cl)Cl)ONO2,2.78,4.66
c1cc2c(cc1C(Cl)(Cl)Cl)ON(C(=O)O)O2,2.71,4.84
c1cc2c(c(c1C(Cl)(Cl)Cl)C(=O)O)ONO2,3.03,4.86
c1cc2c(cc1C(Cl)(Cl)Cl)ON(O)O2,2.71,4.95
Cc1ccc2c(c1)ON(C(Br)(Br)Br)O2,2.5,4.53
c1cc2c(cc1C(Br)(Br)Br)ON(C#N)O2,2.85,4.99
c1cc2c(cc1C(Br)(Br)Br)ON(C(=O)O)O2,2.83,4.81
c1ccc(cc1)c1cc2c(cc1C(Cl)(Cl)Cl)ONO2,3.22,4.68
c1cc2c(cc1C(Br)(Br)Br)ON(C(Cl)(Cl)Cl)O2,2.82,4.89
c1c(cc2c(c1C(=O)O)ONO2)C(Cl)(Cl)Cl,2.75,4.84
c1c(C#N)c2c(cc1C(Cl)(Cl)Cl)ONO2,2.73,4.99
c1c(C#N)c(cc2c1ONO2)C(Cl)(Cl)Cl,3.22,4.98
c1c(c(cc2c1ONO2)C(Cl)(Cl)Cl)C(=O)O,2.64,4.85
Cc1cc(c2c(c1)ONO2)C(Br)(Br)Br,3.23,4.52
c1c(cc2c(c1C(F)(F)F)ONO2)C(Br)(Br)Br,2.87,4.87
c1c(cc2c(c1C(F)(F)F)ONO2)C(Cl)(Cl)Cl,2.76,4.91
c1c(C#N)c(cc2c1ONO2)C(Br)(Br)Br,3.34,4.95
c1c(C#N)c2c(cc1C(Br)(Br)Br)ONO2,2.9,4.93
c1c(cc2c(c1O)ONO2)C(Br)(Br)Br,3.45,4.62
COCCOCCOc1ccc2c(c1C(Br)(Br)Br)ONO2,3.2,4.31
CN(C)N1Oc2ccc(cc2O1)C(Cl)(Cl)Cl,2.68,4.52
CN(C)c1cc(cc2c1ONO2)C(Cl)(Cl)Cl,2.91,4.08
CNc1c2CCCCc2c(c(c1O)O)C(Cl)(Cl)Cl,3.28,4.37
COCCON1Oc2cccc(c2O1)C(Cl)(Cl)Cl,2.64,4.45
COCCON1Oc2ccc(cc2O1)C(Br)(Br)Br,2.79,4.4
COCCOCCON1Oc2cccc(c2O1)C(Br)(Br)Br,2.81,4.44
COCCOCCON1Oc2ccc(cc2O1)C(Cl)(Cl)Cl,2.68,4.46
COCCOCCOc1cccc2c1n(C(F)(F)F)s[nH]2,2.81,4.05
COCCON1Oc2cccc(c2O1)C(Br)(Br)Br,2.75,4.44
c1ccc(cc1)c1cccc2c1n(C(F)(F)F)s[nH]2,2.95,4.03
COCCOCCOCCON1Oc2ccc(cc2O1)C(Cl)(Cl)Cl,2.68,4.47
COCCON1Oc2ccc(cc2O1)C(Cl)(Cl)Cl,2.68,4.44
c1ccc(cc1)c1c(ccc2c1ONO2)C(Cl)(Cl)Cl,3.17,4.68
CC(C)(C)N1Oc2ccc(cc2O1)C(Br)(Br)Br,3.07,4.29
CC(C)(C)c1cccc2c1ON(N(=O)=O)O2,3.15,4.35
COCCOCCON1Oc2cccc(c2O1)C(Cl)(Cl)Cl,2.8,4.45
COCCOCCOCCOc1cccc2c1ON(N(=O)=O)O2,3.19,4.44
CC(C)(C)N1Oc2ccc(cc2O1)C(Cl)(Cl)Cl,2.8,4.33
COCCOCCOCCOc1cc(cc2c1ONO2)C(Cl)(Cl)Cl,2.66,4.68
COCCOCCOc1c(ccc2c1ONO2)C(Cl)(Cl)Cl,2.8,4.65
COCCOCCOCCOc1cccc2c1ON(C(F)(F)F)O2,3.25,4.79
CC(C)(C)c1cc(cc2c1ONO2)C(Br)(Br)Br,2.81,4.53
CN(C)N1Oc2cccc(c2O1)OCCOCCOCCOC,2.93,4.39
COCCOCCOCCOc1ccc(c2c1ONO2)C(Cl)(Cl)Cl,3.05,4.64
c1cc2c(c(c1C(F)(F)F)C(Cl)(Cl)Cl)ONO2,2.92,4.93
c1cc2c(cc1Cl)ON(N(=O)=O)O2,3.3,4.52
c1cc(c2c(c1)ON(C(=O)O)O2)C(Cl)(Cl)Cl,3.32,4.86
c1cc2c(cc1Cl)ON(C(Br)(Br)Br)O2,2.53,4.76
