C(=O)([C@H](O)c1ccccc1)N1[C@H](C)CCC1=O,5.23
O(C(C)(C)C)C(=O)OC(=O)OC(C)(C)C,6.68
C(c1ccccc1)(c1ccccc1)c1ccccc1,4.97
C(C(F)(F)F)N1c2c(CC[C@H]1C#N)cccc2,4.27
C(N(C(=O)OCC)C)c1ccccc1,5.06
C12=NCCCN1CCCCC2,4.12
CC1(C)Oc2c(O1)cc1c(c2)OC(O1)(C)C,3.52
C(=N\Nc1ccccc1)/c1ccc(cc1)OC,3.63
C(=O)(CCC(=O)C)CCCCC,5.66
O(C)[C@H]1c2c(cc(cc2)OC)CCC1,4.52
[N]([N]c1ccc(cc1)OC)[C@H]1C(=NNC1=O)N,4.33
S([C@@H]1C(=O)CCCC1)c1ccccc1,4.51
N(CC)c1ccc(cc1)NCC,2.98
c1(cc(c(cc1)OC)N)N(=O)=O,4.26
C(C(C)C)c1ccc(cc1)[C@@H](C)Cl,5.12
C[C]1[CH][C]2[CH][C]([CH]1)CCc1cc(CC2)ccc1,0.49
S(=O)(=O)(/C(=C(/S(=O)(=O)c1ccc(cc1)C)\Cl)/Cl)c1ccc(cc1)C,5.82
Nc1c2c(c(cc1)c1c3c(c(cc1)N)cccc3)cccc2,3.44
C(C(F)(F)F)(Cl)(Cl)Cl,7.66
C(C(=O)O)(C(=O)O)c1cccs1,5.02
N(C#N)(c1ccccc1)c1ccccc1,4.68
Nc1c2c(cc(cc2O)S([O])([O])O)cc(c1)S([O])([O])O,4.25
C(SCC(=O)OCC)c1ccccc1,4.94
C(N(=O)=O)c1c(OC)ccc(c1)OC,4.21
[C@H](C(SN=O)(C)C)(NC(=O)C)C(=O)O,5.08
C(C(F)(F)F)N1c2c(CCC1)cccc2,3.90
C1(=[S]C=CS1)/C=C/C1=[S]C=CS1,3.03
c12c3C4=Cc1cccc2ccc3[CH][CH]C=C4,4.01
O[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,5.42
O=C1N(c2c(C1)cccc2)c1c(Cl)cccc1Cl,4.70
[C@H](Sc1ccccc1)(C(F)(F)F)c1ccccc1,4.76
S(=O)(=O)(c1c(O)c(C#N)c(c(c1)O)C#N)c1ccccc1,5.31
c12c3c([nH]c1cccc2)cccc3,4.23
c1([P][CH]N(C)C)ccccc1,3.54
C(C)(C)(C)C1=NN=C([C@@H](C1=O)N)SC,4.85
C(=C1CCCC1)c1ccccc1,4.27
Clc1cc2c(cc1)[nH]nn2,5.27
C(N)(c1ccccc1)c1ccccc1,4.75
c12c(ccc(c2)C)cccc1C,4.35
C(=O)(/C(=N/N(C)c1ccccc1)/C#N)c1ccccc1,4.77
C(C(C(F)F)(F)F)(C(C(=O)O)(F)F)(F)F,7.54
S(=O)(=O)(c1ccc(cc1)N(=O)=O)c1ccccc1,6.09
O=C1c2c(ccc(c2C(=O)c2c1cccc2)N)c1c2c(C(=O)c3c(C2=O)cccc3)c(cc1)N,4.16
O=C1c2c(cn(c2)C)C(=O)C=C1,5.13
O=c1n2n(c(=O)n1c1ccccc1)[C@@H]1C[C@H]2C=C1,4.65
P(=O)(O[C@@H](C(=O)C)c1ccccc1)(OCC)OCC,5.33
[C@H]12c3c(CC[C@H]1CCCC2)cccc3,4.90
C(CC=C)c1c2c(ccc1)cccc2,4.47
